,gene1,gene2
1523,117,2975
1524,117,3445
1525,117,8114
1526,118,2574
1527,118,6213
1528,118,9558
1529,119,537
1530,119,983
1531,119,2493
1532,119,2581
1533,119,2669
1534,119,3150
1535,119,3162
1536,119,3164
1537,119,3165
1538,119,3176
1539,119,3799
1540,119,9558
1541,119,9696
1542,119,9916
1543,119,9917
1544,120,4910
1545,121,6718
1546,123,2626
1547,124,62
1548,124,65
1549,124,66
1550,124,69
1551,124,128
1552,124,301
1553,124,335
1554,124,508
1555,124,645
1556,124,1006
1557,124,1209
1558,124,1327
1559,124,1329
1560,124,1348
1561,124,1431
1562,124,1450
1563,124,1468
1564,124,1570
1565,124,1715
1566,124,1871
1567,124,1872
1568,124,1997
1569,124,2035
1570,124,2053
1571,124,2060
1572,124,2107
1573,124,2158
1574,124,2354
1575,124,2373
1576,124,2422
1577,124,2431
1578,124,2501
1579,124,2505
1580,124,2613
1581,124,2727
1582,124,2729
1583,124,2731
1584,124,2762
1585,124,2830
1586,124,3039
1587,124,3204
1588,124,3314
1589,124,3319
1590,124,3342
1591,124,3648
1592,124,3774
1593,124,3781
1594,124,3785
1595,124,3789
1596,124,3846
1597,124,4045
1598,124,4295
1599,124,4331
1600,124,4340
1601,124,4546
1602,124,4590
1603,124,4712
1604,124,4760
1605,124,4910
1606,124,4957
1607,124,5006
1608,124,5045
1609,124,5069
1610,124,5215
1611,124,5229
1612,124,5583
1613,124,5632
1614,124,5810
1615,124,5818
1616,124,5825
1617,124,5840
1618,124,5841
1619,124,5843
1620,124,5917
1621,124,5923
1622,124,6027
1623,124,6116
1624,124,6213
1625,124,6327
1626,124,6457
1627,124,6493
1628,124,6558
1629,124,6665
1630,124,6686
1631,124,6833
1632,124,6974
1633,124,7023
1634,124,7088
1635,124,7090
1636,124,7091
1637,124,7247
1638,124,7255
1639,124,7363
1640,124,7505
1641,124,7746
1642,124,7809
1643,124,7813
1644,124,8078
1645,124,8405
1646,124,8408
1647,124,8432
1648,124,8444
1649,124,8502
1650,124,8593
1651,124,8601
1652,124,8602
1653,124,8605
1654,124,8614
1655,124,8651
1656,124,8859
1657,124,8954
1658,124,8988
1659,124,9086
1660,124,9104
1661,124,9195
1662,124,9241
1663,124,9242
1664,124,9277
1665,124,9298
1666,124,9299
1667,124,9323
1668,124,9378
1669,124,9435
1670,124,9495
1671,124,9571
1672,124,9671
1673,124,9684
1674,124,9693
1675,124,9712
1676,124,9713
1677,124,9718
1678,124,9733
1679,124,9734
1680,124,9876
1681,124,9887
1682,124,9917
1683,125,127
1684,125,134
1685,125,551
1686,125,1329
1687,125,1570
1688,125,1763
1689,125,1855
1690,125,1933
1691,125,2060
1692,125,2061
1693,125,2062
1694,125,2064
1695,125,2422
1696,125,2613
1697,125,2727
1698,125,3204
1699,125,3256
1700,125,3342
1701,125,3665
1702,125,4407
1703,125,4471
1704,125,4910
1705,125,5008
1706,125,5009
1707,125,5228
1708,125,5677
1709,125,5686
1710,125,5799
1711,125,5800
1712,125,5809
1713,125,5810
1714,125,5831
1715,125,5844
1716,125,5912
1717,125,6042
1718,125,6140
1719,125,6558
1720,125,7090
1721,125,7676
1722,125,7685
1723,125,7690
1724,125,7692
1725,125,7693
1726,125,7723
1727,125,7731
1728,125,7737
1729,125,8077
1730,125,8474
