,mir,disease
1503,92,8693
1504,92,9120
1505,92,9410
1506,92,9525
1507,92,9583
1508,92,9806
1509,92,9902
1510,92,9950
1511,92,9982
1512,92,9991
1513,92,10465
1514,92,10684
1515,92,10760
1516,92,10761
1517,92,10762
1518,92,10765
1519,92,11282
1520,92,11284
1521,92,11408
1522,92,11637
1523,93,551
1524,93,694
1525,93,727
1526,93,1079
1527,93,1557
1528,93,2113
1529,93,2116
1530,93,2135
1531,93,2143
1532,93,2144
1533,93,2149
1534,93,2225
1535,93,2695
1536,93,2710
1537,93,3988
1538,93,3994
1539,93,4657
1540,93,4748
1541,93,4751
1542,93,5064
1543,93,5117
1544,93,5159
1545,93,5378
1546,93,5383
1547,93,5986
1548,93,6384
1549,93,6458
1550,93,6460
1551,93,6461
1552,93,6468
1553,93,6474
1554,93,6476
1555,93,6483
1556,93,6487
1557,93,6488
1558,93,6525
1559,93,6645
1560,93,6694
1561,93,7445
1562,93,7465
1563,93,7793
1564,93,7873
1565,93,7892
1566,93,7957
1567,93,8180
1568,93,8250
1569,93,8330
1570,93,8666
1571,93,8693
1572,93,8974
1573,93,9410
1574,93,9504
1575,93,9525
1576,93,9583
1577,93,9803
1578,93,9991
1579,93,10767
1580,93,10927
1581,93,11148
1582,93,11369
1583,94,473
1584,94,551
1585,94,694
1586,94,727
1587,94,1079
1588,94,1557
1589,94,2113
1590,94,2135
1591,94,2143
1592,94,2144
1593,94,2149
1594,94,2225
1595,94,2695
1596,94,2710
1597,94,3570
1598,94,3988
1599,94,3994
1600,94,4657
1601,94,4748
1602,94,4751
1603,94,5117
1604,94,5159
1605,94,5378
1606,94,5383
1607,94,5986
1608,94,6384
1609,94,6458
1610,94,6460
1611,94,6468
1612,94,6474
1613,94,6488
1614,94,6525
1615,94,6694
1616,94,7445
1617,94,7465
1618,94,7793
1619,94,7892
1620,94,7957
1621,94,8180
1622,94,8330
1623,94,8666
1624,94,8693
1625,94,8974
1626,94,9504
1627,94,9525
1628,94,9583
1629,94,9803
1630,94,9809
1631,94,9991
1632,94,10765
1633,94,10767
1634,94,10927
1635,94,11148
1636,94,11369
1637,95,455
1638,95,464
1639,95,467
1640,95,468
1641,95,479
1642,95,529
1643,95,532
1644,95,534
1645,95,535
1646,95,628
1647,95,683
1648,95,686
1649,95,689
1650,95,854
1651,95,906
1652,95,944
1653,95,1002
1654,95,1044
1655,95,1074
1656,95,1080
1657,95,1133
1658,95,1444
1659,95,1522
1660,95,1557
1661,95,2113
1662,95,2117
1663,95,2118
1664,95,2119
1665,95,2120
1666,95,2127
1667,95,2129
1668,95,2135
1669,95,2143
1670,95,2144
1671,95,2149
1672,95,2153
1673,95,2160
1674,95,2162
1675,95,2168
1676,95,2198
1677,95,2205
1678,95,2227
1679,95,2232
1680,95,2472
1681,95,2509
1682,95,2568
1683,95,2577
1684,95,2587
1685,95,2684
1686,95,2695
1687,95,2707
1688,95,2710
1689,95,2970
1690,95,3000
1691,95,3031
1692,95,3381
1693,95,3446
1694,95,3448
1695,95,3457
1696,95,3468
1697,95,3471
1698,95,3477
1699,95,3880
1700,95,3980
1701,95,3994
1702,95,4126
1703,95,4133
1704,95,4272
1705,95,4657
1706,95,4669
1707,95,4728
1708,95,4748
1709,95,4751
1710,95,5133
1711,95,5153
1712,95,5222
1713,95,5234
1714,95,5378
1715,95,5463
1716,95,5542
1717,95,5860
1718,95,5937
1719,95,5948
1720,95,5975
1721,95,6003
1722,95,6050
1723,95,6051
1724,95,6123
1725,95,6177
1726,95,6219
1727,95,6223
1728,95,6225
1729,95,6437
1730,95,6458
1731,95,6460
1732,95,6463
1733,95,6464
1734,95,6473
1735,95,6476
1736,95,6483
1737,95,6487
1738,95,6488
1739,95,6575
1740,95,6586
1741,95,6645
1742,95,6669
1743,95,6682
1744,95,6695
1745,95,7320
1746,95,7445
1747,95,7465
1748,95,7561
1749,95,7661
1750,95,7796
1751,95,7817
1752,95,7880
1753,95,7885
1754,95,7890
1755,95,8180
1756,95,8192
1757,95,8371
1758,95,8486
1759,95,8625
1760,95,8666
1761,95,8693
1762,95,8966
1763,95,8974
1764,95,9029
1765,95,9038
1766,95,9120
1767,95,9132
1768,95,9265
1769,95,9410
1770,95,9504
1771,95,9525
1772,95,9982
1773,95,10376
1774,95,10465
1775,95,10517
1776,95,10572
1777,95,10684
1778,95,10759
1779,95,10760
1780,95,10763
1781,95,10765
1782,95,10790
1783,95,10831
1784,95,10833
1785,95,10927
1786,95,11116
1787,95,11148
1788,95,11238
1789,95,11369
1790,95,11458
1791,95,11461
1792,95,11472
1793,95,11609
1794,96,5948
1795,96,7465
1796,97,1044
1797,97,4748
1798,97,7465
1799,97,9525
1800,98,944
1801,98,2135
1802,98,2710
1803,98,9525
1804,99,8974
1805,100,1074
1806,100,6384
1807,101,6384
1808,101,8693
1809,102,1080
1810,102,1557
1811,102,4657
1812,102,9583
1813,103,8180
1814,104,526
1815,105,2117
1816,105,8180
1817,106,8180
1818,107,2135
1819,108,2135
1820,108,2710
1821,108,8180
1822,109,2149
1823,110,480
1824,110,9161
1825,110,10465
1826,111,530
1827,111,532
1828,111,1074
1829,111,1321
1830,111,1444
1831,111,1477
1832,111,1557
1833,111,2117
1834,111,2119
1835,111,2135
1836,111,2142
1837,111,2143
1838,111,2149
1839,111,2151
1840,111,2155
1841,111,2160
1842,111,2249
1843,111,2695
1844,111,2710
1845,111,4657
1846,111,4748
1847,111,4751
1848,111,5937
1849,111,6223
1850,111,6476
1851,111,6645
1852,111,6651
1853,111,6669
1854,111,6672
1855,111,6682
1856,111,7445
1857,111,7831
1858,111,8180
1859,111,8239
1860,111,8486
1861,111,8625
1862,111,8666
1863,111,8693
1864,111,9525
1865,111,9809
1866,111,10760
1867,111,11148
1868,111,11369
1869,113,5937
1870,114,2135
1871,114,2143
1872,114,2151
1873,114,2158
1874,114,2172
1875,114,2710
1876,114,3457
1877,114,4657
1878,114,4748
1879,114,5117
1880,114,7793
1881,114,8693
1882,114,8974
1883,115,2972
1884,115,8974
1885,116,551
1886,117,2710
